"created_at","id","text","user_id","user_name","user_screen_name","user_location","user_followers_count","user_friends_count","user_created_at","user_time_zone","user_profile_background_color","user_profile_image_url","geo","coordinates","place"
"Thu Apr 03 03:06:03 +0000 2014",451556205920407550,"今日はNHKでビスト。来週末はタマアリでEXO。行きたい、行きたいけど、そんな余裕ナイ現実。",572487758,"アキナ","akky0seopxxx","しんじゅく。さいたま。",56,186,"Sun May 06 10:05:27 +0000 2012","Tokyo","C0DEED","http://pbs.twimg.com/profile_images/3674586819/de78cb34aeebd046fa26d2600f77a9c5_normal.jpeg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205953957900,"sub? 😴😴",1836218923,"ɐ","abriannaalyse_","",524,387,"Sun Sep 08 23:42:14 +0000 2013",null,"BADFCD","http://pbs.twimg.com/profile_images/451348779149426688/cANVwpRN_normal.jpeg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205950165000,"RT @NathalyRiveraB: Hijueputa. http://t.co/kNzRceyTap",357078199,"Stefania*-*.!","StefaniaOtero15","Colombia ",188,168,"Wed Aug 17 20:22:50 +0000 2011","Central Time (US & Canada)","E6155E","http://pbs.twimg.com/profile_images/451207221117214720/-gUYhUPp_normal.jpeg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205920399360,"ふぇらあり",367696033,"赤肩","kouyanozinrai","彩の国",326,390,"Sun Sep 04 12:06:36 +0000 2011","Hawaii","000000","http://pbs.twimg.com/profile_images/445966429343342592/vZeYgGmb_normal.jpeg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205937192960,"日本人の若者に働く気力が無いのなら、学校教育の時点でやる気の出るような教育をするべきだ。国はゆとり教育とかはやるくせに、強くしようとは思わないのか。中韓に負ける為の工作か？ #移民受け入れ反対 #TPP",590886036,"しじりー","akk_yossy","",70,155,"Sat May 26 10:33:36 +0000 2012",null,"C0DEED","http://abs.twimg.com/sticky/default_profile_images/default_profile_6_normal.png",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205950173200,"Ese sacerdote,era yo -Gwabirrrrrr! I lov U",1041238262,"Ƙozмic Ɓlues-","Jessica_MjLopez","",324,333,"Fri Dec 28 03:37:03 +0000 2012","Brasilia","F7EDF7","http://pbs.twimg.com/profile_images/450603588880842753/r5Tcgm1__normal.jpeg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205920415740,"RT @tinatbh: and then satan said \n\n""let there be hot people who dont like you back""",2319145399,"Samantha pimentel","666chld","",107,151,"Thu Jan 30 15:59:03 +0000 2014",null,"C0DEED","http://pbs.twimg.com/profile_images/451494757265465344/f6ntNMKc_normal.jpeg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205920391200,"RT @abab48dayo: やばいと思ったが食欲を抑えられなかった http://t.co/1RsR3dYknm",2202611455,"ONE PIECE〜涙が止まらない～","onepiecenamida","",5132,2101,"Tue Nov 19 06:37:30 +0000 2013","Irkutsk","C0DEED","http://pbs.twimg.com/profile_images/426585532840161280/CiTa0xXV_normal.jpeg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205937557500,"RT @avonsstarlight: austin was literally one of us and now hes hanging out with justin. remember, there is hope. http://t.co/i9rIEiWhxv",2241168563,"Justin Bieber","TeAmoRauhI","",2581,1305,"Tue Dec 24 07:21:04 +0000 2013",null,"FFFFFF","http://pbs.twimg.com/profile_images/450335869224763392/7DKUZGH0_normal.jpeg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205933391900,"Amor ah distancia",535436254,"Sola & Vacía  ","Shuleame","De Por Ahi :D ",610,562,"Sat Mar 24 15:23:27 +0000 2012","Athens","D426BA","http://pbs.twimg.com/profile_images/450119301899747328/LRGfRbdL_normal.jpeg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205949775900,"@fudandandandan \nハヨコイー━━━━(ﾟ∀ﾟ)━━━━!!",1349520157,"あやり*虎様一途","a_1004f_722","",269,195,"Sat Apr 13 15:27:02 +0000 2013",null,"C0DEED","http://pbs.twimg.com/profile_images/451492093815308289/r8ltstYo_normal.jpeg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205932978200,"اللَّهُمَّ ارْفَعْ عَنْهَمْ ما هُمْ فِيهِ، وَأَفْرِغْ عَلَيْهِمْ وَعَلَى أَهْلِيهِمْ صَبْراً \n http://t.co/RYUxkEUI8B",1462052384,"فاطٓمه.","faatimabs","in your bag.",387,265,"Mon May 27 12:57:00 +0000 2013","Abu Dhabi","0C0D0D","http://pbs.twimg.com/profile_images/431418448480985088/asUG4V5m_normal.jpeg",null,null,null
